"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"","2117","html-button-response","39","2.1.0","142973","p0vqdg59kpg","","<p style=""font-size: 36px;"">9 × 5 = ?</p>","2","math_distractor_lyrical","","","2","9 × 5 = ?","true","","","","","","","","","",""
"","3685","html-button-response","40","2.1.0","146661","p0vqdg59kpg","","<p style=""font-size: 36px;"">32 - 18 = ?</p>","3","math_distractor_lyrical","","","2","32 - 18 = ?","false","","","","","","","","","",""
"","1965","html-button-response","41","2.1.0","148631","p0vqdg59kpg","","<p style=""font-size: 36px;"">50 ÷ 10 = ?</p>","3","math_distractor_lyrical","","","3","50 ÷ 10 = ?","true","","","","","","","","","",""
"","2887","html-button-response","42","2.1.0","151523","p0vqdg59kpg","","<p>Which image is the odd one out?</p>","1","ooo_distractor_lyrical","","","","","true","[""tree"",""raccoon"",""plant"",""sunflower""]","raccoon","","","","","","","",""
"","2278","html-button-response","43","2.1.0","153805","p0vqdg59kpg","","<p>Which image is the odd one out?</p>","3","ooo_distractor_lyrical","","","","","true","[""guitar"",""violin"",""flute"",""flashlight""]","flashlight","","","","","","","",""
"","3837","html-button-response","44","2.1.0","157647","p0vqdg59kpg","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""needle"",""yarn"",""palette"",""thread""]","palette","","","","","","","",""
"","2096","html-button-response","45","2.1.0","159747","p0vqdg59kpg","","<p>Which image is the odd one out?</p>","1","ooo_distractor_lyrical","","","","","true","[""pc"",""teapot"",""mouse"",""keyboard""]","teapot","","","","","","","",""
"","1916","html-button-response","46","2.1.0","161667","p0vqdg59kpg","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","false","[""popper"",""saxophone"",""piano"",""trumpet""]","piano","","","","","","","",""
"","12458","survey","47","2.1.0","174170","p0vqdg59kpg","","","{""selected_answers"":[""house"",""stone"",""apple"",""flower"",""blanket"",""moon"",""table"",""river""]}","recall_lyrical","","","","","","","","[""stone"",""moon"",""river"",""chair"",""sun"",""table"",""flower"",""apple"",""house"",""pathway""]","[""suitcase"",""magnet"",""telescope"",""ladder"",""blanket""]","[""house"",""stone"",""apple"",""flower"",""moon"",""table"",""river""]","[""blanket""]","0.125","[""chair"",""sun"",""pathway""]","0.3","0.6363636363636364"
"","2531","html-button-response","48","2.1.0","176706","p0vqdg59kpg","","
                    <p><strong>You've finished the first trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","49","2.0.0","186712","p0vqdg59kpg","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","50","2.0.0","187216","p0vqdg59kpg","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","188218","p0vqdg59kpg","","<p style=""font-size: 32px;"">tree</p>","null","upbeat_instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","52","2.0.0","188721","p0vqdg59kpg","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","53","2.0.0","189724","p0vqdg59kpg","","<p style=""font-size: 32px;"">window</p>","null","upbeat_instrumental","word","window","","","","","","","","","","","","",""
