"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"","2975","html-button-response","38","2.1.0","108845","ps70rke1e0r","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","1827","html-button-response","39","2.1.0","110675","ps70rke1e0r","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","2958","html-button-response","40","2.1.0","113635","ps70rke1e0r","","<p>Which image is the odd one out?</p>","1","","","","","true",""
"","13604","survey","41","2.1.0","127249","ps70rke1e0r","","","{""selected_words"":[""mountain"",""lamp"",""harbor"",""road"",""candle""]}","recall_vocal","","","","","0.8333333333333334"
"","null","html-keyboard-response","42","2.0.0","132252","ps70rke1e0r","","<p>Starting trial with instrumental music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","43","2.0.0","132755","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","44","2.0.0","133757","ps70rke1e0r","","<p style=""font-size: 32px;"">apple</p>","null","instrumental","word","apple","","",""
"","null","html-keyboard-response","45","2.0.0","134260","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","46","2.0.0","135263","ps70rke1e0r","","<p style=""font-size: 32px;"">table</p>","null","instrumental","word","table","","",""
"","null","html-keyboard-response","47","2.0.0","135766","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","48","2.0.0","136769","ps70rke1e0r","","<p style=""font-size: 32px;"">dog</p>","null","instrumental","word","dog","","",""
"","null","html-keyboard-response","49","2.0.0","137273","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","50","2.0.0","138276","ps70rke1e0r","","<p style=""font-size: 32px;"">sun</p>","null","instrumental","word","sun","","",""
"","null","html-keyboard-response","51","2.0.0","138779","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","52","2.0.0","139782","ps70rke1e0r","","<p style=""font-size: 32px;"">chair</p>","null","instrumental","word","chair","","",""
"","null","html-keyboard-response","53","2.0.0","140285","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","54","2.0.0","141288","ps70rke1e0r","","<p style=""font-size: 32px;"">pencil</p>","null","instrumental","word","pencil","","",""
"","null","html-keyboard-response","55","2.0.0","141791","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","56","2.0.0","142794","ps70rke1e0r","","<p style=""font-size: 32px;"">river</p>","null","instrumental","word","river","","",""
"","null","html-keyboard-response","57","2.0.0","143297","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","58","2.0.0","144300","ps70rke1e0r","","<p style=""font-size: 32px;"">moon</p>","null","instrumental","word","moon","","",""
"","null","html-keyboard-response","59","2.0.0","144803","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","60","2.0.0","145805","ps70rke1e0r","","<p style=""font-size: 32px;"">house</p>","null","instrumental","word","house","","",""
"","null","html-keyboard-response","61","2.0.0","146308","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","62","2.0.0","147311","ps70rke1e0r","","<p style=""font-size: 32px;"">flower</p>","null","instrumental","word","flower","","",""
"","null","html-keyboard-response","63","2.0.0","147814","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","64","2.0.0","148817","ps70rke1e0r","","<p style=""font-size: 32px;"">bridge</p>","null","instrumental","word","bridge","","",""
"","null","html-keyboard-response","65","2.0.0","149320","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","66","2.0.0","150322","ps70rke1e0r","","<p style=""font-size: 32px;"">stone</p>","null","instrumental","word","stone","","",""
